name,description,id,group_id,level,hidden,icon_path,override_drop_id,next_link,client_trigger
When Aix Cries,Defeat the Mourning Aix for the first time.,300101,3001,1,False,,0,-1,False
"Beringal, We're Goin Down",Defeat the Feilian Beringal for the first time.,300102,3001,1,False,,0,-1,False
Cross the Boundless Fog,Defeat the Lampylumen Myriad for the first time.,300103,3001,1,False,,0,-1,False
Ride the Inferno,Defeat the Inferno Rider for the first time.,300104,3001,1,False,,0,-1,False
Crown Fallen,Defeat the Crownless for the first time.,300105,3001,1,False,,0,-1,False
Only the Bell Tolls,Defeat the Bell-Borne Geochelone for the first time.,300106,3001,1,False,,0,-1,False
Dancing Flash,Defeat the Tempest Mephis for the first time.,300107,3001,1,False,,0,-1,False
"Wakey, Wakey!",Defeat the Bell-Borne Geochelone 50 times.,300108,3001,1,False,,0,-1,False
"No Liz, But Strange Birds",Defeat the Mourning Aix 50 times.,300109,3001,1,False,,0,-1,False
Rule the Forest,Defeat the Feilian Beringal 50 times.,300110,3001,1,False,,0,-1,False
Penetrate the Fog with Light,Defeat the Lampylumen Myriad 50 times.,300111,3001,1,False,,0,-1,False
Night Voyager,Defeat the Inferno Rider 50 times.,300112,3001,1,False,,0,-1,False
Take the Crown,Defeat the Crownless 50 times.,300113,3001,1,False,,0,-1,False
Mephis Kombat,Defeat the Tempest Mephis 50 times.,300114,3001,1,False,,0,-1,False
Fatal Strike,Trigger the Intro Skill 20 times.,300115,3001,1,False,,0,-1,False
Recoil: Bell-Borne Geochelone,Use the Echo Skill of the Bell-Borne Geochelone to strike a fatal blow on the Bell-Borne Geochelone.,300116,3001,2,True,,0,-1,False
Recoil: Inferno Rider,Use the Echo Skill of the Inferno Rider to strike a fatal blow on the Inferno Rider.,300117,3001,2,True,,0,-1,False
Fading Tempest,Thunder's Finale,300118,3001,3,True,,0,-1,False
Recoil: Mourning Aix,Use the Echo Skill of the Mourning Aix to strike a fatal blow on the Mourning Aix.,300119,3001,2,True,,0,-1,False
Recoil: The Crownless,Use the Echo Skill of the Crownless to strike a fatal blow on the Crownless.,300120,3001,2,True,,0,-1,False
Recoil: Tempest Mephis,Use the Echo Skill of the Thundering Mephis to strike a fatal blow on the Thundering Mephis.,300121,3001,2,True,,0,-1,False
Silent Burst,"Deal 10,000 points of Crit. DMG.",300122,3001,1,False,,0,-1,False
Duang!!!,Parry enemy's attack 10 times.,300124,3001,1,False,,0,-1,False
Handy Pistols I,Defeat enemies 10 times with Chixia's Heavy Attack from 7m away.,300301,3003,1,False,,0,-1,False
Handy Pistols II,Defeat enemies 10 times with Chixia's Heavy Attack from 1m away.,300302,3003,1,False,,0,-1,False
New Places the Old,Use the Echo Skill of the Fusion Dreadmane to defeat the Havoc Dreadmane 10 times.,300304,3003,1,False,,0,-1,False
The Dark Knight Rises,Defeat 100 Exiles.,300305,3003,1,False,,0,-1,False
"Goodnight, Snip Snaps",Defeat 66 Snip Snaps.,300306,3003,1,False,,0,-1,False
Lights Out...,Defeat 66 Zig Zags.,300307,3003,1,False,,0,-1,False
Sniff the Whiff,Defeat 66 Whiff Whaffs.,300309,3003,1,False,,0,-1,False
A Silent Tick,Defeat 66 Tick Tacks.,300310,3003,1,False,,0,-1,False
BOOM BOOM!,A Resonator becomes incapacitated by the explosive attacks of the Zig Zags.,300401,3004,1,False,,0,-1,False
A Deadly Weight,A Resonator becomes incapacitated by the Excarats' attacks.,300402,3004,1,False,,0,-1,False
Unexpected Disaster,A Resonator becomes incapacitated after being bumped by the Inferno Rider.,300403,3004,1,False,,0,-1,False
DANGEROUS CREATURE,A Resonator becomes incapacitated after being juggled by the Gulpuffs.,300404,3004,1,False,,0,-1,False
Rise & Shine,A Resonator becomes incapacitated by a fatal blow when HP is above 95%.,300405,3004,1,False,,0,-1,False
Chilling Frost,A Resonator becomes incapacitated by a fatal blow of Glacio DMG when HP is above 50%.,300406,3004,1,False,,0,-1,False
Scorching Sun,A Resonator becomes incapacitated by a fatal blow of Fusion DMG when HP is above 50%.,300407,3004,1,False,,0,-1,False
Bury the Thunder,A Resonator becomes incapacitated by a fatal blow of Electro DMG when HP is above 50%.,300408,3004,1,False,,0,-1,False
Noisy Wind,A Resonator becomes incapacitated by a fatal blow of Aero DMG when HP is above 50%.,300409,3004,1,False,,0,-1,False
Over-Photosynthesis,A Resonator becomes incapacitated by a fatal blow of Spectro DMG when HP is above 50%.,300410,3004,1,False,,0,-1,False
Close Your Eyes when it's Dark,A Resonator becomes incapacitated by a fatal blow of Havoc DMG when HP is above 50%.,300411,3004,1,False,,0,-1,False
As Long as it Works!,Absorb a 3-star Echo.,400201,4002,1,False,,0,400202,False
Nice to Meet You,Absorb a 4-star Echo.,400202,4002,2,False,,0,400203,False
Are You My Servant?,Absorb a 5-star Echo.,400203,4002,3,False,,0,0,False
Golden Legend I,Absorb 10 5-star Echoes.,400204,4002,1,False,,0,400213,False
Ace Trainer,Upgrade a 5-star Echo to max level.,400206,4002,2,False,,0,-1,False
Become an Echo Enthusiast!,Absorb 100 Echoes in total.,400207,4002,1,False,,0,400208,False
Become an Echo Expert!,Absorb 300 Echoes in total.,400208,4002,2,False,,0,400209,False
Become an Echo Master!,Absorb 500 Echoes in total.,400209,4002,3,False,,0,0,False
"""Hero of Justice""",Resonator Ascension reaches Rank 6.,400101,4001,1,False,,0,-1,False
All Battles Won I,Upgrade Data Bank to Lv.8.,400102,4001,1,False,,0,400113,False
You Don't Even Want to Call Me Big Brother!,Obtain the Echo of the Crownless for the first time.,400103,4001,1,True,,0,-1,False
Beginner Pet Raising,Obtain the Echo of the Bell-Borne Geochelone for the first time.,400104,4001,1,True,,0,-1,False
Friendly Neighborhood I,Complete 10 Daily Quests in total.,400108,4001,1,False,,0,400109,False
Good Neighbors of Citizens II,Complete 30 Daily Quests in total.,400109,4001,2,False,,0,400110,False
Friendly Neighborhood II,Complete 50 Daily Quests in total.,400110,4001,3,False,,0,0,False
Skilled Craftsman,Forge any weapon 1 time.,100401,1004,1,False,,0,-1,False
Fishing Master I,Catch 50 fish.,100402,1004,1,False,,0,100403,False
Fishing Master II,Catch 100 fish.,100403,1004,2,False,,0,100411,False
Hunting Master I,Obtain 50 pieces of Poultry.,100404,1004,1,False,,0,100405,False
Hunting Master II,Obtain 100 pieces of Poultry.,100405,1004,2,False,,0,100412,False
Wild Hunter I,Obtain 50 pieces of Raw Meat.,100406,1004,1,False,,0,100407,False
Wild Hunter II,Obtain 100 pieces of Raw Meat.,100407,1004,2,False,,0,100413,False
Winner Winner Chicken Dinner,Make 1 Spicy Pulled Chicken.,100410,1004,1,False,,0,-1,False
First Try,Equip one 4-star or above weapon.,400111,4001,1,False,,0,-1,False
Echoes of the Past: Jinzhou,Deliver 30 Sonance Caskets to Chenpi.,110101,1001,1,False,,0,110102,False
Echoes of the Past: Jinzhou,Deliver 60 Sonance Caskets to Chenpi.,110102,1001,2,False,,0,110103,False
Echoes of the Past: Jinzhou,Deliver 115 Sonance Caskets to Chenpi.,110103,1001,3,False,,0,0,False
World Travel: Jinzhou,Activate all Resonance Beacons in Jinzhou.,110105,1001,2,False,,0,-1,False
POWER!,Sit on the highest chair in Jinzhou.,100101,1001,1,False,,0,-1,False
May the Beacons Guide Us,"Complete ""Silent History"".",100102,1001,1,False,,0,-1,False
One-way Road Ahead,Solve a Magnetic Cube puzzle 1 time.,100103,1001,1,False,,0,-1,False
Set off the Fireworks,Solve an Encryption Block puzzle 1 time.,100104,1001,1,False,,0,-1,False
The Metamorphosis,Complete 5 Echo Challenges.,100105,1001,1,False,,0,-1,False
Fastest Legend,"Complete ""Parallel Perception"" for the first time.",100106,1001,1,False,,0,-1,False
Perspective Bender,"Complete ""Perspective Bender"" for the first time.",100107,1001,1,False,,0,-1,False
Dance in the Laser Light,"Maneuver the dolls through the laser corridor in ""Solitary Crusade"".",100108,1001,2,True,,0,-1,False
Plants vs Zombie Roseshroom?,"Defeat the ""Roseshroom Variant"" in Port City of Guixu.",100110,3002,2,False,,0,-1,False
Wild Boar Forest Rampage,"Defeat the ""Sabyrkin"" in Tiger's Maw.",100111,3002,2,False,,0,-1,False
"The ""Ultimate""","Defeat the ""Viridblaze Saurian: Ultimate"" in Central Plains.",100112,3002,2,False,,0,-1,False
Dance with the Wolves,"Defeat the ""Wasteland Bellower"" in Wuming Bay.",100113,3002,2,False,,0,-1,False
Here Comes the Bear,The compulsory course in the wilderness.,100114,3002,3,False,,0,-1,False
Just A Rock,"Defeat the ""Obelisk Guardian"" in Desorock Highland.",100115,3002,2,False,,0,-1,False
Though I Can't Fly,"Defeat the ""Twin Heron"" in Whining Aix's Mire.",100116,3002,2,False,,0,-1,False
"Love, Death & Abandoned Cars","Defeat the ""Carapace: Engine Zero"" in Central Plains.",100117,3002,2,False,,0,-1,False
Not My Match!,"Defeat the ""Young Murmurin"" in Dim Forest.",100118,3002,2,False,,0,-1,False
Prism Party,"Defeat the ""Prism Heart"" in Dim Forest.",100119,3002,2,False,,0,-1,False
Debut Project of the Big Three!,"Defeat the ""Fractsidus Follower"" in Port City of Guixu.",100120,3002,2,False,,0,-1,False
